measured_on,poa_irradiance_o_149574
2024-03-06 01:15:00,0.0
2024-03-06 01:20:00,0.0
2024-03-06 01:35:00,0.0
2024-03-06 01:40:00,0.0
2024-03-06 01:50:00,0.0
2024-03-06 01:55:00,0.0
2024-03-06 02:00:00,0.0
2024-03-06 02:20:00,0.0
2024-03-06 02:25:00,0.0
2024-03-06 02:30:00,0.0
2024-03-06 02:35:00,0.0
2024-03-06 02:55:00,0.0
2024-03-06 03:15:00,0.0
2024-03-06 03:30:00,0.0
2024-03-06 03:35:00,0.0
2024-03-06 03:40:00,0.0
2024-03-06 03:45:00,0.0
2024-03-06 03:50:00,0.0
2024-03-06 04:00:00,0.0
2024-03-06 04:05:00,0.0
2024-03-06 04:15:00,0.0
2024-03-06 04:20:00,0.0
2024-03-06 04:25:00,0.0
2024-03-06 04:30:00,0.0
2024-03-06 04:40:00,0.0
2024-03-06 04:50:00,0.0
2024-03-06 04:55:00,0.0
2024-03-06 05:00:00,0.0
2024-03-06 05:15:00,0.0
2024-03-06 05:20:00,0.0
2024-03-06 05:40:00,0.0
2024-03-06 05:45:00,0.0
2024-03-06 05:50:00,0.0
2024-03-06 05:55:00,0.0
2024-03-06 06:15:00,0.0
2024-03-06 06:20:00,0.0
2024-03-06 06:25:00,0.0
2024-03-06 06:30:00,0.0
2024-03-06 06:35:00,1.1
2024-03-06 06:40:00,3.3
2024-03-06 06:45:00,7.8
2024-03-06 06:50:00,12.3
2024-03-06 06:55:00,17.5
2024-03-06 07:00:00,23.8
2024-03-06 07:05:00,34.0
2024-03-06 07:10:00,45.9
2024-03-06 07:15:00,59.6
2024-03-06 07:20:00,74.2
2024-03-06 07:25:00,88.9
2024-03-06 07:30:00,104.2
2024-03-06 07:35:00,119.3
2024-03-06 07:40:00,129.4
2024-03-06 07:45:00,137.0
2024-03-06 07:50:00,148.0
2024-03-06 07:55:00,167.6
2024-03-06 08:00:00,158.7
2024-03-06 08:05:00,157.0
2024-03-06 08:10:00,151.4
2024-03-06 08:15:00,144.7
2024-03-06 08:20:00,154.9
2024-03-06 08:25:00,158.9
2024-03-06 08:30:00,166.2
2024-03-06 08:35:00,157.7
2024-03-06 08:40:00,150.3
2024-03-06 08:45:00,145.5
2024-03-06 08:50:00,145.1
2024-03-06 08:55:00,143.3
2024-03-06 09:00:00,144.3
2024-03-06 09:05:00,141.2
2024-03-06 09:10:00,139.1
2024-03-06 09:15:00,136.0
2024-03-06 09:20:00,139.7
2024-03-06 09:25:00,151.1
2024-03-06 09:30:00,164.0
2024-03-06 09:35:00,174.4
2024-03-06 09:40:00,191.8
2024-03-06 09:45:00,205.3
2024-03-06 09:50:00,214.6
2024-03-06 09:55:00,224.6
2024-03-06 10:00:00,244.1
2024-03-06 10:05:00,265.8
2024-03-06 10:10:00,274.3
2024-03-06 10:15:00,331.0
2024-03-06 10:20:00,360.7
2024-03-06 10:25:00,345.2
2024-03-06 10:30:00,348.4
2024-03-06 10:35:00,294.6
2024-03-06 10:40:00,292.6
2024-03-06 10:45:00,307.0
2024-03-06 10:50:00,293.8
2024-03-06 10:55:00,312.7
2024-03-06 11:00:00,299.3
2024-03-06 11:05:00,318.2
2024-03-06 11:10:00,318.1
2024-03-06 11:15:00,335.1
2024-03-06 11:20:00,339.4
2024-03-06 11:25:00,339.6
2024-03-06 11:30:00,308.7
2024-03-06 11:35:00,303.0
2024-03-06 11:40:00,318.4
2024-03-06 11:45:00,359.7
2024-03-06 11:50:00,433.7
2024-03-06 11:55:00,523.3
2024-03-06 12:00:00,429.9
2024-03-06 12:05:00,385.1
2024-03-06 12:10:00,405.8
2024-03-06 12:15:00,498.6
2024-03-06 12:20:00,717.2
2024-03-06 12:25:00,823.5
2024-03-06 12:30:00,805.2
2024-03-06 12:35:00,460.7
2024-03-06 12:40:00,751.0
2024-03-06 12:45:00,490.5
2024-03-06 12:50:00,842.5
2024-03-06 12:55:00,368.3
2024-03-06 13:00:00,306.0
2024-03-06 13:05:00,254.4
2024-03-06 13:10:00,250.6
2024-03-06 13:15:00,450.6
2024-03-06 13:20:00,458.6
2024-03-06 13:25:00,391.2
2024-03-06 13:30:00,529.8
2024-03-06 13:35:00,480.0
2024-03-06 13:40:00,400.5
2024-03-06 13:45:00,457.0
2024-03-06 13:50:00,486.1
2024-03-06 13:55:00,517.8
2024-03-06 14:00:00,518.0
2024-03-06 14:05:00,575.6
2024-03-06 14:10:00,588.3
2024-03-06 14:15:00,584.2
2024-03-06 14:20:00,587.2
2024-03-06 14:25:00,806.1
2024-03-06 14:30:00,803.4
2024-03-06 14:35:00,842.4
2024-03-06 14:40:00,822.7
2024-03-06 14:45:00,586.1
2024-03-06 14:50:00,389.5
2024-03-06 14:55:00,206.9
2024-03-06 15:00:00,161.9
2024-03-06 15:05:00,149.3
2024-03-06 15:10:00,126.4
2024-03-06 15:15:00,96.9
2024-03-06 15:20:00,75.59999999999998
2024-03-06 15:25:00,48.2
2024-03-06 15:30:00,38.5
2024-03-06 15:35:00,31.8
2024-03-06 15:40:00,30.7
2024-03-06 15:45:00,31.4
2024-03-06 15:50:00,30.6
2024-03-06 15:55:00,29.4
2024-03-06 16:00:00,33.2
2024-03-06 16:05:00,41.1
2024-03-06 16:10:00,57.2
2024-03-06 16:15:00,160.8
2024-03-06 16:20:00,319.8
2024-03-06 16:25:00,458.1
2024-03-06 16:30:00,178.2
2024-03-06 16:35:00,142.7
2024-03-06 16:40:00,84.7
2024-03-06 16:45:00,81.0
2024-03-06 16:50:00,83.2
2024-03-06 16:55:00,61.0
2024-03-06 17:00:00,62.8
2024-03-06 17:05:00,69.2
2024-03-06 17:10:00,101.3
2024-03-06 17:15:00,123.7
2024-03-06 17:20:00,235.3
2024-03-06 17:25:00,232.4
2024-03-06 17:30:00,158.4
2024-03-06 17:35:00,145.1
2024-03-06 17:40:00,124.7
2024-03-06 17:45:00,121.2
2024-03-06 17:50:00,75.09999999999998
2024-03-06 17:55:00,49.1
2024-03-06 18:00:00,27.6
2024-03-06 18:05:00,10.3
2024-03-06 18:10:00,1.8
2024-03-06 18:15:00,0.0
2024-03-06 18:20:00,0.0
2024-03-06 18:25:00,0.0
2024-03-06 18:30:00,0.0
2024-03-06 18:35:00,0.0
2024-03-06 18:40:00,0.0
2024-03-06 18:45:00,0.0
2024-03-06 18:50:00,0.0
2024-03-06 18:55:00,0.0
2024-03-06 19:00:00,0.0
2024-03-06 19:05:00,0.0
2024-03-06 19:10:00,0.0
2024-03-06 19:25:00,0.0
2024-03-06 19:30:00,0.0
2024-03-06 19:40:00,0.0
2024-03-06 19:45:00,0.0
2024-03-06 19:50:00,0.0
2024-03-06 20:05:00,0.0
2024-03-06 20:25:00,0.0
2024-03-06 20:45:00,0.0
2024-03-06 21:00:00,0.0
2024-03-06 21:20:00,0.0
2024-03-06 21:25:00,0.0
2024-03-06 21:40:00,0.0
2024-03-06 21:50:00,0.0
2024-03-06 22:05:00,0.0
2024-03-06 22:10:00,0.0
2024-03-06 22:15:00,0.0
2024-03-06 22:20:00,0.0
2024-03-06 22:25:00,0.0
2024-03-06 22:40:00,0.0
2024-03-06 22:50:00,0.0
2024-03-06 23:10:00,0.0
2024-03-06 23:15:00,0.0
2024-03-06 23:35:00,0.0
2024-03-06 23:40:00,0.0
2024-03-06 23:50:00,0.0
2024-03-07 00:00:00,0.0
2024-03-07 00:05:00,0.0
2024-03-07 00:10:00,0.0
2024-03-07 00:15:00,0.0
2024-03-07 00:20:00,0.0
2024-03-07 00:40:00,0.0
2024-03-07 00:50:00,0.0
2024-03-07 00:55:00,0.0
2024-03-07 01:00:00,0.0
