event_id,inv_id,timestamp_debut,timestamp_fin,duree_minutes,peak_error,dtw_distance,mean_error,gradient_montee,gradient_descente
223,1,2019-03-27 19:20,2019-03-27 19:40,25,0.0578,0.0,0.0405,0.05,-0.03
224,1,2019-03-29 08:55,2019-03-29 09:35,45,0.1529,0.0,0.107,0.05,-0.03
225,1,2019-03-29 10:15,2019-03-29 10:25,15,0.5801,0.0,0.4061,0.05,-0.03
226,1,2019-03-29 15:15,2019-03-29 15:30,20,0.7846,0.0,0.5492,0.05,-0.03
227,1,2019-03-29 16:25,2019-03-29 16:35,15,0.4807,0.0,0.3365,0.05,-0.03
228,1,2019-03-30 13:45,2019-03-30 13:55,15,0.8954,0.0,0.6268,0.05,-0.03
229,1,2019-03-31 06:40,2019-03-31 07:40,65,0.0879,0.0,0.0615,0.05,-0.03
230,1,2019-03-31 11:00,2019-03-31 11:15,20,0.725,0.0,0.5075,0.05,-0.03
231,1,2019-03-31 12:25,2019-03-31 14:50,150,0.7742,0.0,0.5419,0.05,-0.03
232,1,2019-04-09 15:00,2019-04-09 15:20,25,0.7805,0.0,0.5463,0.05,-0.03
233,1,2019-04-10 11:50,2019-04-10 12:00,15,0.8493,0.0,0.5945,0.05,-0.03
234,1,2019-04-13 05:55,2019-04-13 07:40,110,0.1654,0.0,0.1158,0.05,-0.03
235,1,2019-04-13 11:00,2019-04-13 12:00,65,0.6349,0.0,0.4444,0.05,-0.03
236,1,2019-04-13 13:05,2019-04-13 14:35,95,0.6358,0.0,0.4451,0.05,-0.03
237,1,2019-04-13 18:40,2019-04-13 18:50,15,0.0991,0.0,0.0694,0.05,-0.03
238,1,2019-04-13 19:35,2019-04-13 20:00,30,0.0866,0.0,0.0606,0.05,-0.03
239,1,2019-04-14 06:25,2019-04-14 07:15,55,0.0976,0.0,0.0683,0.05,-0.03
240,1,2019-04-14 10:35,2019-04-14 13:10,160,0.5184,0.0,0.3629,0.05,-0.03
241,1,2019-04-14 14:20,2019-04-14 14:45,30,0.1745,0.0,0.1221,0.05,-0.03
242,1,2019-04-14 15:40,2019-04-14 16:20,45,0.1141,0.0,0.0799,0.05,-0.03
243,1,2019-04-16 09:10,2019-04-16 14:05,300,0.5823,0.0,0.4076,0.05,-0.03
